ID	TCGA_BC_A10Q_LIHC_NT	TCGA_BC_A10T_LIHC_NT	TCGA_BC_A10W_LIHC_NT	TCGA_2V_A95S_LIHC_TP	TCGA_2Y_A9GS_LIHC_TP	TCGA_2Y_A9GU_LIHC_TP	TCGA_A7_A0CE_BRCA_NT	TCGA_A7_A0CH_BRCA_NT	TCGA_A7_A0D9_BRCA_NT	TCGA_3C_AAAU_BRCA_TP	TCGA_3C_AALJ_BRCA_TP	TCGA_3C_AALK_BRCA_TP
ENSG00000167487	146	117	159	0	1	4	287.9365	293.3709	239.8167	0	2.7199	1.6549
ENSG00000179454	310	363	285	25	103	51	215.873	236.2012	291.2424	120.6306	73.4361	132.3955
ENSG00000119771	222	34	149	18	20	50	505.3968	509.2619	588.0855	271.2465	283.7715	980.5544
ENSG00000109466	1033	1027	1115	16	37	18	812.381	449.4593	439.9185	139.5868	43.5177	76.9549
ENSG00000168427	5	4	4	301	729	216	19.6825	111.3305	301.4257	711.3758	284.6782	388.0844
ENSG00000124743	2	2.51	13	656	1113	187	67.4698	806.3526	1260.1578	656.2304	728.0145	301.6136
ENSG00000186231	17	21	14	115	413	87	11.1111	8.6507	4.0733	978.1417	407.9782	263.1361
ENSG00000185271	0	2	0	1496	5402	3458	2.8571	4.8895	22.9124	2677.6544	1028.1052	1310.7158
ENSG00000185915	1	0	1	51	240	48	0	2.6328	2.0367	610.7354	1660.9248	413.736
ENSG00000149243	0	0	2	597	1781	491	66.9841	51.528	5.0916	713.4438	628.2865	378.5685
ENSG00000135686	460	258	426	11	24	6	209.8413	273.8129	403.7678	15.165	7.2529	5.3786
ENSG00000175946	0	0	0	6	1	4	4.7619	6.394	0.5092	234.7127	1.8132	3.7236
ENSG00000146021	115	21	45	3553	5464	2426	174.2857	286.6008	474.0326	4140.3864	2653.6718	4315.2669
ENSG00000102271	16	19	24	29	46	282	18.4127	30.4654	70.2648	721.0263	768.8123	424.9069
ENSG00000109790	1092	1028	1203	5	5	2	610.4762	954.2078	2693.4827	56.1794	8.1596	8.2747
ENSG00000172578	68	36	116	80.82	229.65	19	149.8413	162.4824	118.1263	62.2867	118.5585	222.3335
ENSG00000122550	239	299	301	105.56	183.84	22	652.381	553.6436	655.2953	202.3147	217.7607	221.3488
ENSG00000145332	429	391	337	758	1527	183	285.0794	329.102	498.9817	777.5503	932.0036	1131.5681
ENSG00000198642	612	661	706	724	1811	221	1373.9683	1166.3376	1208.2485	1021.9134	781.505	664.0463
ENSG00000129451	12	5	10	1097.56	813.74	235.63	424.7619	220.4043	33.6049	1619.7172	3913.7897	1941.3405
ENSG00000167757	8	0	5	5142	2749	1662	257.1429	197.8373	18.3299	193.6983	446.0562	412.0811
ENSG00000186474	0	0	0	30	70	38	7.619	4.1373	3.055	58.2473	33.5449	20.2731
ENSG00000167759	0	0	1	356	593	160	27.9365	17.3014	11.7108	137.8635	204.8957	246.5867
ENSG00000129437	0	0	0	12.72	2.47	0	10.4762	23.3192	0.5092	0.3447	0	3.8146
ENSG00000174562	0	0	0	25.28	2.53	1	0	1.5045	0	0	0	1.1502
ENSG00000167748	0	0	3	80	0	4	5.7143	15.0447	5.0916	0	0	0
ENSG00000167751	0	0	0	18	0	2	4.4444	5.6417	0	0	0	3.7236
ENSG00000142515	1	0	0	12	0	0	7.619	10.5313	1.5275	0.6893	0	0.4137
ENSG00000167749	2	1	0	25	1	0	4.7619	3.7612	0	0	3.6265	5.7923
ENSG00000167754	0	0	0	1	0	0	955.2381	798.8717	31.0591	0	0	0
ENSG00000167755	0	0	0	1	1	0	272.0635	319.6991	8.6558	0	0	0
ENSG00000169035	0	0	0	7	0	0	390.7937	314.0574	11.7108	2.068	0	0.4137
ENSG00000129455	1	0	0	3	5	0	214.9206	123.3662	0.7536	0.3447	2.7199	5.3786
ENSG00000213022	0	0	0	2	76	76	1.9048	0	0.7739	157.5091	188.5766	216.7977
ENSG00000164344	9571	4951	8888	61	0	0	10.7937	2.6328	0.5092	1.7233	0	339.6773
ENSG00000197588	0	0	0	178	38	70	0.3175	0	0	3.1019	18.1324	14.067
ENSG00000162869	379	329	515	120	221	292	579.6825	510.7663	760.1833	700.3467	279.2384	666.115
ENSG00000111796	101	91	348	20	48	79	61.9048	68.4532	70.7739	19.9902	58.0236	304.096
ENSG00000134545	1	4	7	2206	3685	3743	26.0317	3.385	3.5642	15.5096	56.2103	18.6181
ENSG00000205809	4	3	4.31	1106.05	1827.78	487	10.1587	0.7522	1.0183	1331.2137	1478.8577	2084.8283
ENSG00000205810	3	0	6.69	1409	886	109	4.7619	0	0.5092	1240.7718	909.3382	1039.7187
